Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I7295,pressure,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7296,endothelial cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.531089,,,,,,,,,
I7297,PMC4621929__F3,Wikipathways PFOCR,1,null,,,,,,,,,
I7298,SG in frontal polar cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.09928,,,,,,,,,
I7299,reversal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7300,eyes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7301,PECAPJ15,CCLE Cell Line Gene CNV Profiles,1,1.49249,,,,,,,,,
I7302,Kidney Diseases,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7303,Calcitriol,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7304,Voacamine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7305,melanocyte cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.183781,,,,,,,,,
I7306,Childhood T Acute Lymphoblastic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7307,Multiple Chronic Conditions,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7308,Cimetidine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7309,Tetrachlorodibenzodioxin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7310,Renal Fibrosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7311,GTEX-X4XX-0011-R5A-SM-46MWN,GTEx Tissue Sample Gene Expression Profiles,1,1.06626,,,,,,,,,
I7312,MY-M12,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I7313,Mood Disorders,CTD Gene-Disease Associations,1,2.35801,,,,,,,,,
I7314,rearrangements,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7315,Thalidomide,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7316,aeg1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7317,cytokine,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7318,GTEX-QMR6-0011-R6A-SM-32PKP,GTEx Tissue Sample Gene Expression Profiles,1,0.985044,,,,,,,,,
I7319,hepatoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.942645,,,,,,,,,
I7320,consumption,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7321,Acute Kidney Injury,CTD Gene-Disease Associations,1,2.5596,,,,,,,,,
I7322,noninvasively,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7323,musculoskeletal system disease,GWASdb SNP-Disease Associations,1,0.073612,,,,,,,,,
I7324,Carcinoma,,,,,,,,,,,,
I7325,vision,GAD High Level Gene-Disease Associations,1,0.293278,,,,,,,,,
I7326,RBFOX2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7327,Imipramine,DrugBank Drug Targets,1,null,,,,,,,,,
I7328,Peripheral Nervous System Diseases,CTD Gene-Disease Associations,1,2.88009,,,,,,,,,
I7329,GTEX-TSE9-0008-SM-4DXT8,GTEx Tissue Sample Gene Expression Profiles,-1,-0.95123,,,,,,,,,
I7330,Cannabis Dependence,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7331,Glioblastoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7332,low-density lipoprotein particle,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.233459,,,,,,,,,
I7333,Infant,,,,,,,,,,,,
I7334,follows,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7335,Prostate adenocarcinoma_PRAD_TCGA-EJ-7792-11A-01R-2118-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7336,Behcet Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7337,receiving,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7338,varying,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7339,GTEX-QDVN-2426-SM-2S1Q4,GTEx Tissue Sample Gene Expression Profiles,-1,-1.04296,,,,,,,,,
I7340,LCLC-97TM1,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I7341,stabilizes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7342,endocrine gland,TISSUES Experimental Tissue Protein Expression Evidence Scores,1,0.766457,,,,,,,,,
I7343,conferring,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7344,Adenocarcinoma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7345,Thymus,BioGPS Human Cell Type and Tissue Gene Expression Profiles,-1,-1.31595,,,,,,,,,
I7346,BL7340 (LRWD1),NURSA Protein Complexes,1,null,,,,,,,,,
I7347,thorax,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.83066,,,,,,,,,
I7348,diagnosed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7349,CLPP_KO_GDS4791_539_mouse_liver,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,,,,,,,,,
I7350,M5B Acute Differentiated Monocytic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7351,membrane,GO Cellular Component Annotations,1,null,,,,,,,,,
I7352,toxin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7353,Hypothyroidism,CTD Gene-Disease Associations,1,2.13793,,,,,,,,,
I7354,Albendazole,DrugBank Drug Targets,1,null,,,,,,,,,
I7355,U87MG,CCLE Cell Line Gene Expression Profiles,-1,-2.65623,,,,,,,,,
I7356,15090461-Table3,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I7357,T-Cell Prolymphocytic Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7358,Prednisone,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7359,OVCAR-4,Klijn et al.,,,,,,,,,,,
I7360,seems,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7361,TE-1,COSMIC Cell Line Gene CNV Profiles,1,2.36889,,,,,,,,,
I7362,BRD-K09951645_dabrafenib_HEPG2_24_h_0.04_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7363,attempts,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7364,SUCLG1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7365,taxane,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7366,KRAS.600_UP.V1,MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations,-1,null,,,,,,,,,
I7367,BRD-K77286328_R3904_SKB_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7368,metabolic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7369,posteroventral (inferior) parietal cortex_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.73011,,,,,,,,,
I7370,KARPAS-45,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I7371,9-hydroxyrisperidone; risperidone,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7372,hsa-miR-3714,TargetScan Predicted Nonconserved microRNA Targets,1,0.965816,,,,,,,,,
I7373,kidney cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.9133,,,,,,,,,
I7374,vector,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7375,Lymphoma,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7376,NCI-H1155,Klijn et al.,,,,,,,,,,,
I7377,Body Height,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7378,equal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7379,Tremor,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I7380,Cholecystitis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7381,Atrophy,CTD Gene-Disease Associations,1,2.19359,,,,,,,,,
I7382,Brain Lower Grade Glioma_LGG_TCGA-DU-7011-01A-11R-2027-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7383,VI,,,,,,,,,,,,
I7384,BRD-K78431006_crizotinib_HEPG2_24_h_3.33_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7385,northafrican,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7386,Tipifarnib,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I7387,intestinaltype,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7388,GTEX-T2YK-0008-SM-4DM6M,GTEx Tissue Sample Gene Expression Profiles,-1,-1.08232,,,,,,,,,
I7389,osteoclasts,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,-1,-0.961581,,,,,,,,,
I7390,semen,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7391,resistant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7392,GTEX-QVJO-0011-R2A-SM-2S1QK,GTEx Tissue Sample Gene Expression Profiles,1,1.23138,,,,,,,,,
I7393,agents,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7394,Phenols,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7395,heart disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.606152,,,,,,,,,
I7396,pyrazinamide_mus musculus_gpl6246_gse48027,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7397,Leukemia,,,,,,,,,,,,
I7398,expressers,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7399,astrocytoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.720345,,,,,,,,,
I7400,bleeding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7401,abnormal gamma-delta intraepithelial t cell morphology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I7402,Adrenocortical carcinoma_ACC_TCGA-OR-A5LL-01A-11R-A29S-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7403,ELMSAN1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7404,BRD-K32644160_Naphthalen-1-yl-(5-pyridin-4-yl-[1,,,,,,,,,,,,
I7405,Bradycardia,CTD Gene-Disease Associations,1,2.50553,,,,,,,,,
I7406,heterozygotes,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7407,Childhood Myelodysplastic Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7408,schizophrenia,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7409,10,,,,,,,,,,,,
I7410,Carcinoma,,,,,,,,,,,,
I7411,Disease Models,,,,,,,,,,,,
I7412,Bladder Urothelial Carcinoma_BLCA_TCGA-BT-A20O-01A-21R-A14Y-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7413,colorectal cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.56489,,,,,,,,,
I7414,survivin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7415,behaves,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7416,Oral Mucositis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7417,first,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7418,antiapoptotic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7419,epithelial,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7420,chondrogenic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7421,testicular cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.54217,,,,,,,,,
I7422,dorsolateral prefrontal cortex_9 pcw_M_12833,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-1.30559,,,,,,,,,
I7423,Candidiasis,,,,,,,,,,,,
I7424,aberrations,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7425,intestinal disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.09083,,,,,,,,,
I7426,rostafuroxin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7427,GTEX-Q734-1126-SM-48TZY,GTEx Tissue Sample Gene Expression Profiles,1,0.93049,,,,,,,,,
I7428,Mitomycin,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7429,Lung squamous cell carcinoma_LUSC_TCGA-33-4587-11A-01R-2125-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7430,Mucoepidermoid Carcinoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7431,Cerebrovascular Disorders,CTD Gene-Disease Associations,1,1.71769,,,,,,,,,
I7432,breast cancer,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.6642,,,,,,,,,
I7433,Leukemia,,,,,,,,,,,,
I7434,enzyme,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7435,sitagliptin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7436,Confusion,CTD Gene-Disease Associations,1,2.46871,,,,,,,,,
I7437,OUMS-23,Klijn et al.,,,,,,,,,,,
I7438,cynarin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7439,BRD-K49865102_PD-0325901_HCC515_24_h_0.12_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7440,weakly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7441,C20orf57,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7442,salivarygland_6b,HPA Tissue Sample Gene Expression Profiles,-1,-1.03733,,,,,,,,,
I7443,H3K4me3_erythroblast_mm9_3,ENCODE Histone Modification Site Profiles,1,null,,,,,,,,,
I7444,Postoperative Complications,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7445,Skin Neoplasms,CTD Gene-Disease Associations,1,2.01856,,,,,,,,,
I7446,RPP30,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7447,Lung adenocarcinoma_LUAD_TCGA-44-6148-01A-11R-1755-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7448,Bipolar Disorder,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7449,GTEX-PWN1-1626-SM-2S1OL,GTEx Tissue Sample Gene Expression Profiles,-1,-1.1367,,,,,,,,,
I7450,E-3179,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I7451,Back Pain,CTD Gene-Disease Associations,1,1.6199,,,,,,,,,
I7452,plant,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.15673,,,,,,,,,
I7453,generegulatory,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7454,KELLY,Klijn et al.,,,,,,,,,,,
I7455,principal,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7456,oocyte,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7457,phenytoin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7458,rs1128503,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7459,leading,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7460,transport,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7461,myod,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7462,Lung adenocarcinoma_LUAD_TCGA-49-6743-11A-01R-1858-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7463,infection,GAD High Level Gene-Disease Associations,1,0.40929,,,,,,,,,
I7464,Brain Diseases,CTD Gene-Disease Associations,1,2.5144,,,,,,,,,
I7465,lymphoblastoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.124816,,,,,,,,,
I7466,systemmethylphenidate,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7467,NCI-H1770,Klijn et al.,,,,,,,,,,,
I7468,hivnegative,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7469,GTEX-XYKS-0926-SM-4BRVG,GTEx Tissue Sample Gene Expression Profiles,1,2.03531,,,,,,,,,
I7470,Colorectal Neoplasms,CTD Gene-Disease Associations,1,2.88009,,,,,,,,,
I7471,altered,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7472,abnormal nervous system physiology,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I7473,differentiationinducing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7474,Pulmonary Disease,,,,,,,,,,,,
I7475,dorsolateral prefrontal cortex_26 pcw_F_12949,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.39138,,,,,,,,,
I7476,pluronic block copolymer p85,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7477,GTEX-QVJO-0008-SM-447AU,GTEx Tissue Sample Gene Expression Profiles,-1,-1.79189,,,,,,,,,
I7478,NCIH716,Achilles Cell Line Gene Essentiality Profiles,1,1.38603,,,,,,,,,
I7479,result,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7480,SACS,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7481,Atrioventricular Block,CTD Gene-Disease Associations,1,2.29743,,,,,,,,,
I7482,inducible,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7483,coactivated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7484,PMC4582071__F3,Wikipathways PFOCR,1,null,,,,,,,,,
I7485,Squamous Cell Carcinoma Of Lung,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7486,digoxin,,,,,,,,,,,,
I7487,SUZ12-20075857-MESC-MOUSE,CHEA Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I7488,Chills,CTD Gene-Disease Associations,1,1.13895,,,,,,,,,
I7489,astroblast,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.182748,,,,,,,,,
I7490,PKN1,Kinase Library Serine Threonine Kinome Atlas,1,null,,,,,,,,,
I7491,work,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7492,extracellular membrane-bounded organelle,GO Cellular Component Annotations,1,null,,,,,,,,,
I7493,Lung adenocarcinoma_LUAD_TCGA-44-3396-11A-01R-1758-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7494,Kidney renal clear cell carcinoma_KIRC_TCGA-B0-5703-11A-01R-1541-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7495,perfluorooctane sulfonic acid,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7496,trimester,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7497,small molecule binding,GO Molecular Function Annotations,1,null,,,,,,,,,
I7498,intensity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7499,regulation of response to osmotic stress,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I7500,Rheumatism,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7501,Leukemia,,,,,,,,,,,,
I7502,hsa-miR-4432,TargetScan Predicted Nonconserved microRNA Targets,1,0.880544,,,,,,,,,
I7503,competitively,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7504,DU-4475,Sanger Dependency Map Cancer Cell Line Proteomics,1,2.52585,,,,,,,,,
I7505,Lupus Nephritis,CTD Gene-Disease Associations,1,1.31237,,,,,,,,,
I7506,metastases,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7507,capillary endothelium,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.9081,,,,,,,,,
I7508,amygdaloid complex_2 yrs_F_12979,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.16947,,,,,,,,,
I7509,17234769-TableS4b,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I7510,seizures,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7511,bulgarian,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7512,Sexual Dysfunction,,,,,,,,,,,,
I7513,purine ribonucleoside triphosphate binding,GO Molecular Function Annotations,1,null,,,,,,,,,
I7514,contribute,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7515,lpv,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7516,sensitive,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7517,Lung adenocarcinoma_LUAD_TCGA-NJ-A55R-01A-11R-A262-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I7518,delayed graft function; diabetes mellitus,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7519,EMC-BAC-1,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I7520,Hearing Loss,CTD Gene-Disease Associations,1,2.15996,,,,,,,,,
I7521,liver transplant,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7522,total,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7523,Anemia,,,,,,,,,,,,
I7524,female reproductive system,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,,,,,,,,,
I7525,layer V of area 35c,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.4877,,,,,,,,,
I7526,Dysuria,CTD Gene-Disease Associations,1,1.49635,,,,,,,,,
I7527,fluid,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7528,cysteines,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7529,epithelial cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.5255,,,,,,,,,
I7530,glucocorticoid,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7531,ligands,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7532,agranulocytosis,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.11435,,,,,,,,,
I7533,grapefruit,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7534,SDHA,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7535,korean,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7536,human brain microvascular endothelial cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.864734,,,,,,,,,
I7537,renal proximal tubule,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.04488,,,,,,,,,
I7538,Graves Disease,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7539,LN428,Achilles Cell Line Gene Essentiality Profiles,1,1.11128,,,,,,,,,
I7540,N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I7541,neighboring,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7542,Idiosyncratic drug effect_Hepatic Tissue_GSE2825,GEO Signatures of Differentially Expressed Genes for Diseases,1,1.57493,,,,,,,,,
I7543,now,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7544,PRG4,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7545,Eosinophilia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7546,GTEX-QDT8-0011-R7A-SM-32PKF,GTEx Tissue Sample Gene Expression Profiles,1,0.849569,,,,,,,,,
I7547,Pneumonia,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7548,placentas,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7549,Diabetes Complications,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I7550,whole body,TISSUES Experimental Tissue Protein Expression Evidence Scores,1,0.766457,,,,,,,,,
I7551,rabbit,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7552,intolerance,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7553,tools,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7554,graves disease; hashimoto disease; hyperthyroidism; hypothyroidism,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7555,Tasimelteon,DeepCoverMOA Drug Mechanisms of Action,1,null,,,,,,,,,
I7556,sphingolipid translocation,GO Biological Process Annotations 2023,1,null,,,,,,,,,
I7557,proposed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7558,prpc,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7559,receptors,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7560,Liothyronine,DrugBank Drug Targets,1,null,,,,,,,,,
I7561,mitochondrion,LOCATE Predicted Protein Localization Annotations,1,null,,,,,,,,,
I7562,glucuronide,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I7563,BRD-K99545815_PF-562271_HS578T_24_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I7564,morphine-induced adverse drug reactions,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7565,ulcerative colitis,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7566,DHX9,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I7567,liver transplant; prostate cancer; premature ovarian failure; lupus nephritis,GAD Gene-Disease Associations,1,null,,,,,,,,,
I7568,GTEX-R3RS-0008-SM-48FF1,GTEx Tissue Sample Gene Expression Profiles,-1,-1.7335,,,,,,,,,
I7569,GTEX-OXRL-1626-SM-2YUMU,GTEx Tissue Sample Gene Expression Profiles,-1,-2.17893,,,,,,,,,
I7570,Hyperlipidemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I7571,pregnancy,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
