Patient ID,association,dataset,threshold value,standardized value
I7286,BRD-A19952358_Closantel_PC3_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7287,diabetes mellitus,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.171036
I7288,GTEX-PLZ6-0006-SM-33HBZ,GTEx Tissue Sample Gene Expression Profiles,-1,-1.58386
I7289,GSK3B_KD_GDS4305_183_human_THP-1 acute myeloid leukemia cell line,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null
I7290,PTEN_KD_GDS2958_100_human_HCC827 - NON-SMALL CELL LUNG carcinoma cell line,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null
I7291,BRD-A79465854_auranofin_SKM1_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7292,GTEX-N7MT-0007-SM-3GACQ,GTEx Tissue Sample Gene Expression Profiles,-1,-0.850961
I7293,BRD-K21680192_mitoxantrone_HT29_24_h_3.33_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7294,lysosomal storage disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.066655
I7295,BRD-K42918627_GSK-2126458_MCF7_24_h_3.33_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7296,BRD-K06750613_-666_HT29_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null
I7297,,,,
I7298,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7299,Pathway Commons Protein-Protein Interactions,1,null,
I7300,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.067253,
I7301,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7302,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7303,GTEx Tissue Sample Gene Expression Profiles,1,0.84598,
I7304,GeneSigDB Published Gene Signatures,1,null,
I7305,Pathway Commons Protein-Protein Interactions,1,null,
I7306,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7307,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7308,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7309,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7310,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.052224,
I7311,GTEx Tissue Sample Gene Expression Profiles,1,1.09658,
I7312,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7313,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7314,GTEx Tissue Sample Gene Expression Profiles,-1,-1.17117,
I7315,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7316,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7317,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.94078,
I7318,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.10774,
I7319,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7320,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7321,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.19795,
I7322,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7323,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.586026,
I7324,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7325,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.082815,
I7326,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7327,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7328,ENCODE Histone Modification Site Profiles,1,null,
I7329,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7330,ENCODE Histone Modification Site Profiles,1,null,
I7331,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7332,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7333,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7334,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7335,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7336,Pathway Commons Protein-Protein Interactions,1,null,
I7337,ENCODE Histone Modification Site Profiles,1,null,
I7338,GTEx Tissue Sample Gene Expression Profiles,1,1.08032,
I7339,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7340,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,1,0.959223,
I7341,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I7342,CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7343,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7344,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7345,Pathway Commons Protein-Protein Interactions,1,null,
I7346,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.15806,
I7347,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7348,,,,
I7349,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.80036,
I7350,,,,
I7351,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7352,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7353,,,,
I7354,Pathway Commons Protein-Protein Interactions,1,null,
I7355,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7356,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7357,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7358,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7359,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.433012,
I7360,Pathway Commons Protein-Protein Interactions,1,null,
I7361,GTEx Tissue Sample Gene Expression Profiles,-1,-1.50496,
I7362,GTEx Tissue Sample Gene Expression Profiles,1,1.19669,
I7363,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7364,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7365,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.10132,
I7366,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7367,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.1646,
I7368,GTEx Tissue Sample Gene Expression Profiles,1,0.841091,
I7369,Pathway Commons Protein-Protein Interactions,1,null,
I7370,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7371,CHEA Transcription Factor Targets,1,null,
I7372,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7373,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.849528,
I7374,GeneSigDB Published Gene Signatures,1,null,
I7375,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7376,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-2.93701,
I7377,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.882036,
I7378,Achilles Cell Line Gene Essentiality Profiles,-1,-1.04013,
I7379,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I7380,CCLE Cell Line Gene Expression Profiles,1,1.78048,
I7381,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7382,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7383,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7384,CCLE Cell Line Gene Expression Profiles,1,1.36039,
I7385,GTEx Tissue Sample Gene Expression Profiles,1,2.30712,
I7386,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7387,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7388,Pathway Commons Protein-Protein Interactions,1,null,
I7389,COSMIC Cell Line Gene Mutation Profiles,1,null,
I7390,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7391,BioGPS Cell Line Gene Expression Profiles,1,0.982142,
I7392,GeneSigDB Published Gene Signatures,1,null,
I7393,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7394,,,,
I7395,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7396,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7397,CTD Gene-Disease Associations,1,1.12151,
I7398,GTEx Tissue Sample Gene Expression Profiles,1,1.36572,
I7399,GTEx Tissue Sample Gene Expression Profiles,-1,-0.824653,
I7400,Pathway Commons Protein-Protein Interactions,1,null,
I7401,Pathway Commons Protein-Protein Interactions,1,null,
I7402,DisGeNET Gene-Disease Associations,1,null,
I7403,,,,
I7404,CTD Gene-Disease Associations,1,1.48582,
I7405,GTEx Tissue Sample Gene Expression Profiles,1,1.20719,
I7406,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7407,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7408,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7409,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7410,Pathway Commons Protein-Protein Interactions,1,null,
I7411,Pathway Commons Protein-Protein Interactions,1,null,
I7412,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7413,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7414,HPA Tissue Gene Expression Profiles,1,0.903174,
I7415,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7416,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7417,Pathway Commons Protein-Protein Interactions,1,null,
I7418,BioGPS Cell Line Gene Expression Profiles,1,1.10412,
I7419,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7420,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.051802,
I7421,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7422,ENCODE Histone Modification Site Profiles,1,null,
I7423,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I7424,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7425,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-2.14559,
I7426,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7427,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7428,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.41087,
I7429,CCLE Cell Line Gene CNV Profiles,1,2.21196,
I7430,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,2.89551,
I7431,GTEx Tissue Sample Gene Expression Profiles,1,1.27579,
I7432,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7433,GeneRIF Biological Term Annotations,1,null,
I7434,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.04956,
I7435,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7436,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7437,CTD Gene-Disease Associations,1,1.87459,
I7438,ENCODE Histone Modification Site Profiles,1,null,
I7439,Pathway Commons Protein-Protein Interactions,1,null,
I7440,Achilles Cell Line Gene Essentiality Profiles,-1,-1.93237,
I7441,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7442,Pathway Commons Protein-Protein Interactions,1,null,
I7443,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,-1,-0.908457,
I7444,Pathway Commons Protein-Protein Interactions,1,null,
I7445,GTEx Tissue Sample Gene Expression Profiles,-1,-1.66971,
I7446,Roadmap Epigenomics Cell and Tissue Gene Expression Profiles,-1,-0.950014,
I7447,GeneRIF Biological Term Annotations,1,null,
I7448,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7449,Achilles Cell Line Gene Essentiality Profiles,1,1.45962,
I7450,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7451,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7452,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7453,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7454,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7455,,,,
I7456,,,,
I7457,GTEx Tissue Sample Gene Expression Profiles,1,0.830237,
I7458,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7459,Pathway Commons Protein-Protein Interactions,1,null,
I7460,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.24109,
I7461,GTEx Tissue Sample Gene Expression Profiles,-1,-0.924685,
I7462,GeneRIF Biological Term Annotations,1,null,
I7463,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.056715,
I7464,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7465,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7466,ENCODE Histone Modification Site Profiles,1,null,
I7467,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.20189,
I7468,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7469,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I7470,ENCODE Transcription Factor Targets,1,null,
I7471,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7472,TargetScan Predicted Nonconserved microRNA Targets,1,1.2992,
I7473,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.945936,
I7474,HPA Tissue Gene Expression Profiles,1,1.28605,
I7475,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.62011,
I7476,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7477,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7478,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7479,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I7480,Klijn et al.,,,
I7481,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7482,GeneRIF Biological Term Annotations,1,null,
I7483,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7484,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7485,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7486,,,,
I7487,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7488,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7489,MotifMap Predicted Transcription Factor Targets,1,null,
I7490,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7491,GTEx Tissue Sample Gene Expression Profiles,1,0.892894,
I7492,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7493,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7494,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,1.01776,
I7495,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.097019,
I7496,,,,
I7497,,,,
I7498,GeneSigDB Published Gene Signatures,1,null,
I7499,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.055533,
I7500,ENCODE Histone Modification Site Profiles,1,null,
I7501,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7502,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.755364,
I7503,GTEx Tissue Sample Gene Expression Profiles,-1,-0.991031,
I7504,GTEx Tissue Sample Gene Expression Profiles,-1,-0.852512,
I7505,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7506,CCLE Cell Line Gene CNV Profiles,-1,-1.37733,
I7507,ENCODE Histone Modification Site Profiles,1,null,
I7508,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7509,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7510,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7511,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7512,Klijn et al.,,,
I7513,GeneRIF Biological Term Annotations,1,null,
I7514,GeneRIF Biological Term Annotations,1,null,
I7515,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7516,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7517,Pathway Commons Protein-Protein Interactions,1,null,
I7518,GeneSigDB Published Gene Signatures,1,null,
I7519,,,,
I7520,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7521,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7522,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7523,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.04279,
I7524,GTEx Tissue Sample Gene Expression Profiles,-1,-1.07253,
I7525,ENCODE Histone Modification Site Profiles,1,null,
I7526,GEO Signatures of Differentially Expressed Genes for Diseases,-1,-1.43758,
I7527,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7528,CHEA Transcription Factor Binding Site Profiles,1,null,
I7529,Pathway Commons Protein-Protein Interactions,1,null,
I7530,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-2.9353,
I7531,ENCODE Transcription Factor Targets,1,null,
I7532,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7533,GTEx Tissue Sample Gene Expression Profiles,1,1.52769,
I7534,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7535,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7536,GTEx Tissue Sample Gene Expression Profiles,-1,-0.977496,
I7537,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7538,GTEx Tissue Sample Gene Expression Profiles,-1,-0.965883,
I7539,Heiser et al.,,,
I7540,DisGeNET Gene-Disease Associations,1,null,
I7541,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7542,CTD Gene-Disease Associations,1,1.13075,
I7543,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.4566,
I7544,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.3157,
I7545,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7546,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7547,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,-1,null,
I7548,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7549,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.057595,
I7550,CHEA Transcription Factor Binding Site Profiles,1,null,
I7551,Pathway Commons Protein-Protein Interactions,1,null,
I7552,Pathway Commons Protein-Protein Interactions,1,null,
I7553,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7554,MotifMap Predicted Transcription Factor Targets,1,null,
I7555,DisGeNET Gene-Disease Associations,1,null,
I7556,GEO Signatures of Differentially Expressed Genes for Diseases,1,1.73143,
I7557,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7558,GTEx Tissue Sample Gene Expression Profiles,1,0.851786,
I7559,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7560,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7561,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7562,Klijn et al.,,,
I7563,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7564,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7565,Pathway Commons Protein-Protein Interactions,1,null,
I7566,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.02867,
I7567,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7568,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7569,TargetScan Predicted Nonconserved microRNA Targets,1,1.07142,
I7570,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.588456,
I7571,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7572,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7573,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.001,
I7574,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7575,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7576,Pathway Commons Protein-Protein Interactions,1,null,
I7577,CHEA Transcription Factor Binding Site Profiles,1,null,
I7578,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7579,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.064774,
I7580,ENCODE Histone Modification Site Profiles,1,null,
I7581,Pathway Commons Protein-Protein Interactions,1,null,
I7582,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,-1,-0.712529,
I7583,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7584,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.07221,
I7585,Pathway Commons Protein-Protein Interactions,1,null,
I7586,GTEx Tissue Sample Gene Expression Profiles,-1,-1.27145,
I7587,CTD Gene-Disease Associations,1,1.10527,
I7588,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.40751,
I7589,CTD Gene-Disease Associations,1,1.1617,
I7590,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7591,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7592,GTEx Tissue Sample Gene Expression Profiles,1,1.51419,
I7593,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7594,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7595,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7596,GTEx Tissue Sample Gene Expression Profiles,1,1.07686,
I7597,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7598,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I7599,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7600,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7601,COSMIC Cell Line Gene Mutation Profiles,1,null,
I7602,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7603,GTEx Tissue Sample Gene Expression Profiles,-1,-0.977269,
I7604,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7605,,,,
I7606,GTEx Tissue Sample Gene Expression Profiles,1,3.4825,
I7607,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7608,ENCODE Transcription Factor Binding Site Profiles,1,null,
I7609,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7610,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7611,DisGeNET Gene-Disease Associations,1,null,
I7612,Pathway Commons Protein-Protein Interactions,1,null,
I7613,Klijn et al.,,,
I7614,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7615,GTEx Tissue Sample Gene Expression Profiles,-1,-1.28932,
I7616,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7617,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7618,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7619,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.26486,
I7620,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7621,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7622,Roadmap Epigenomics Histone Modification Site Profiles,1,null,
I7623,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7624,GEO Signatures of Differentially Expressed Genes for Diseases,-1,-0.870908,
I7625,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I7626,CTD Gene-Disease Associations,1,1.04538,
I7627,GTEx Tissue Sample Gene Expression Profiles,-1,-1.00424,
I7628,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7629,ENCODE Histone Modification Site Profiles,1,null,
I7630,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I7631,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.045149,
